incident_id,asset_id,date,cause,duration_minutes,customers_affected,weather_condition_at_time
INC-50857,FDR-006,2024-06-29,vegetation_contact,132,1425,rain
INC-40021,TX-005,2024-07-04,equipment_failure,240,115,clear
INC-65519,TX-001,2024-07-31,animal_contact,135,1006,heavy_rain
INC-94259,TX-004,2024-08-03,animal_contact,147,342,windy
INC-58520,FDR-003,2024-08-24,equipment_failure,120,479,rain
INC-59009,FDR-005,2024-09-20,vegetation_contact,225,380,windy
INC-62350,FDR-012,2024-10-15,animal_contact,122,499,thunderstorm
INC-74042,FDR-006,2024-12-09,weather_storm,34,279,thunderstorm
INC-16175,TX-002,2024-12-31,animal_contact,58,363,clear
INC-26828,SUB-003,2025-01-24,weather_storm,198,1023,heavy_rain
INC-27342,FDR-010,2025-01-24,vegetation_contact,215,1219,rain
INC-63354,FDR-007,2025-02-06,vegetation_contact,78,243,thunderstorm
INC-82512,FDR-008,2025-02-11,unknown,32,1443,heavy_rain
INC-93886,TX-003,2025-02-17,animal_contact,206,1190,heavy_rain
INC-10425,TX-007,2025-03-17,vegetation_contact,214,589,thunderstorm
INC-37653,TX-008,2025-04-21,equipment_failure,175,694,clear
INC-69177,FDR-009,2025-05-19,animal_contact,60,557,thunderstorm
INC-19116,FDR-008,2025-05-31,unknown,41,1404,rain
INC-15695,TX-009,2025-06-18,unknown,216,990,heavy_rain
INC-41571,TX-009,2025-07-26,vegetation_contact,175,211,windy
INC-23238,TX-005,2025-08-13,weather_storm,127,619,heavy_rain
INC-80010,FDR-010,2025-09-05,weather_storm,216,551,heavy_rain
INC-92719,FDR-007,2025-10-23,weather_storm,45,518,heavy_rain
INC-22156,TX-002,2025-10-28,equipment_failure,127,248,clear
INC-38893,FDR-006,2025-11-14,unknown,144,1256,windy
INC-91959,FDR-005,2025-12-05,unknown,106,1358,clear
INC-89507,FDR-006,2025-12-18,equipment_failure,138,483,thunderstorm
INC-18326,FDR-009,2025-12-24,animal_contact,128,831,thunderstorm
INC-83579,TX-006,2026-01-14,vegetation_contact,167,588,rain
INC-82357,FDR-006,2026-01-29,animal_contact,105,1337,clear
INC-94012,FDR-012,2026-02-08,unknown,117,278,heavy_rain
INC-76237,SUB-001,2026-03-02,vegetation_contact,184,104,windy
INC-87110,TX-005,2026-04-01,equipment_failure,171,521,clear
INC-77391,SUB-003,2026-05-04,equipment_failure,90,620,clear
INC-65392,TX-006,2026-05-30,vegetation_contact,117,619,rain
INC-21395,FDR-013,2026-08-24,weather_storm,612,760,thunderstorm
INC-93810,TX-001,2026-08-29,equipment_failure,294,704,clear
INC-46048,FDR-003,2026-09-03,equipment_failure,430,2328,rain
INC-28289,TX-005,2026-09-08,equipment_failure,284,4967,clear
