asset_id,timestamp,temperature_c,vibration_mm_s,partial_discharge_pc,oil_quality_index,label_failure_within_14d
SUB-001,2026-06-15T08:00:00,58.1,2.32,12.1,87.7,0
SUB-001,2026-06-16T08:00:00,58.1,1.79,13.4,85.8,0
SUB-001,2026-06-17T08:00:00,57.9,2.44,13.1,88.6,0
SUB-001,2026-06-18T08:00:00,60.5,2.44,10.2,84.3,0
SUB-001,2026-06-19T08:00:00,59.3,2.92,12.5,86.1,0
SUB-001,2026-06-20T08:00:00,60.1,1.81,11.5,87.3,0
SUB-001,2026-06-21T08:00:00,61.2,2.29,13.5,86.8,0
SUB-001,2026-06-22T08:00:00,60.9,1.95,14.1,83.3,0
SUB-001,2026-06-23T08:00:00,50.7,2.15,9.7,88.1,0
SUB-001,2026-06-24T08:00:00,60.5,1.9,15.0,84.3,0
SUB-001,2026-06-25T08:00:00,58.3,2.27,12.8,88.0,0
SUB-001,2026-06-26T08:00:00,60.4,2.53,14.4,87.3,0
SUB-001,2026-06-27T08:00:00,56.7,2.1,11.0,87.3,0
SUB-001,2026-06-28T08:00:00,57.8,3.33,10.0,84.1,0
SUB-001,2026-06-29T08:00:00,60.8,2.96,13.9,88.0,0
SUB-001,2026-06-30T08:00:00,62.8,2.35,8.1,85.3,0
SUB-001,2026-07-01T08:00:00,61.4,1.81,12.5,86.8,0
SUB-001,2026-07-02T08:00:00,57.6,2.68,14.2,91.0,0
SUB-001,2026-07-03T08:00:00,60.4,2.15,10.7,84.7,0
SUB-001,2026-07-04T08:00:00,61.4,2.16,12.2,87.8,0
SUB-001,2026-07-05T08:00:00,56.4,2.27,6.9,84.2,0
SUB-001,2026-07-06T08:00:00,56.8,2.56,16.0,86.3,0
SUB-001,2026-07-07T08:00:00,59.3,2.46,15.7,88.1,0
SUB-001,2026-07-08T08:00:00,59.4,1.99,15.1,87.1,0
SUB-001,2026-07-09T08:00:00,62.2,2.38,18.3,85.6,0
SUB-001,2026-07-10T08:00:00,63.3,2.44,10.9,84.1,0
SUB-001,2026-07-11T08:00:00,58.1,2.96,14.9,87.7,0
SUB-001,2026-07-12T08:00:00,51.4,2.68,14.1,85.2,0
SUB-001,2026-07-13T08:00:00,56.6,2.39,17.6,84.2,0
SUB-001,2026-07-14T08:00:00,57.2,2.94,11.1,85.6,0
SUB-001,2026-07-15T08:00:00,58.8,1.89,13.1,83.9,0
SUB-001,2026-07-16T08:00:00,61.2,2.39,19.3,86.9,0
SUB-001,2026-07-17T08:00:00,62.6,1.87,12.0,87.0,0
SUB-001,2026-07-18T08:00:00,63.8,1.72,15.4,87.5,0
SUB-001,2026-07-19T08:00:00,63.1,2.68,12.6,85.3,0
SUB-001,2026-07-20T08:00:00,54.8,2.47,11.8,90.4,0
SUB-001,2026-07-21T08:00:00,56.7,2.52,7.7,85.5,0
SUB-001,2026-07-22T08:00:00,59.3,2.72,16.8,86.2,0
SUB-001,2026-07-23T08:00:00,55.2,2.57,14.0,87.3,0
SUB-001,2026-07-24T08:00:00,56.4,2.84,12.7,87.7,0
SUB-001,2026-07-25T08:00:00,62.4,2.63,13.3,90.6,0
SUB-001,2026-07-26T08:00:00,59.3,2.27,12.7,89.3,0
SUB-001,2026-07-27T08:00:00,58.9,2.6,16.0,85.3,0
SUB-001,2026-07-28T08:00:00,53.4,2.51,13.1,85.1,0
SUB-001,2026-07-29T08:00:00,61.1,2.63,9.4,87.4,0
SUB-001,2026-07-30T08:00:00,57.9,1.8,13.8,86.2,0
SUB-001,2026-07-31T08:00:00,56.3,2.6,13.9,85.2,0
SUB-001,2026-08-01T08:00:00,59.7,2.8,10.3,87.1,0
SUB-001,2026-08-02T08:00:00,58.5,3.3,6.8,87.7,0
SUB-001,2026-08-03T08:00:00,57.6,2.35,18.1,86.3,0
SUB-001,2026-08-04T08:00:00,65.3,2.21,13.5,85.3,0
SUB-001,2026-08-05T08:00:00,56.5,2.42,11.6,86.7,0
SUB-001,2026-08-06T08:00:00,52.2,3.19,11.9,89.8,0
SUB-001,2026-08-07T08:00:00,55.5,2.51,21.9,84.6,0
SUB-001,2026-08-08T08:00:00,54.0,2.17,13.8,87.7,0
SUB-001,2026-08-09T08:00:00,62.4,2.29,7.6,85.4,0
SUB-001,2026-08-10T08:00:00,62.3,2.58,6.5,86.2,0
SUB-001,2026-08-11T08:00:00,62.7,3.24,14.1,86.9,0
SUB-001,2026-08-12T08:00:00,54.8,2.05,12.6,87.3,0
SUB-001,2026-08-13T08:00:00,60.3,2.2,9.0,84.8,0
SUB-001,2026-08-14T08:00:00,55.1,2.65,5.5,85.6,0
SUB-001,2026-08-15T08:00:00,59.9,3.0,12.6,88.3,0
SUB-001,2026-08-16T08:00:00,57.3,2.09,10.4,89.4,0
SUB-001,2026-08-17T08:00:00,61.5,2.59,22.4,86.3,0
SUB-001,2026-08-18T08:00:00,60.4,2.51,11.7,90.9,0
SUB-001,2026-08-19T08:00:00,63.1,1.83,11.2,87.2,0
SUB-001,2026-08-20T08:00:00,60.9,1.85,5.6,82.5,0
SUB-001,2026-08-21T08:00:00,58.3,2.35,13.4,84.8,0
SUB-001,2026-08-22T08:00:00,54.9,1.58,13.4,87.1,0
SUB-001,2026-08-23T08:00:00,61.5,2.71,11.8,89.0,0
SUB-001,2026-08-24T08:00:00,58.1,2.13,10.8,85.1,0
SUB-001,2026-08-25T08:00:00,52.0,2.45,13.2,85.6,0
SUB-001,2026-08-26T08:00:00,56.4,2.54,17.6,86.4,0
SUB-001,2026-08-27T08:00:00,57.0,2.15,12.2,83.8,0
SUB-001,2026-08-28T08:00:00,58.2,2.42,17.9,88.2,0
SUB-001,2026-08-29T08:00:00,61.6,2.11,14.4,84.0,0
SUB-001,2026-08-30T08:00:00,59.5,2.56,10.1,90.3,0
SUB-001,2026-08-31T08:00:00,60.2,1.63,14.1,85.5,0
SUB-001,2026-09-01T08:00:00,58.5,2.58,13.6,82.2,0
SUB-001,2026-09-02T08:00:00,55.1,2.7,16.3,90.1,0
SUB-001,2026-09-03T08:00:00,63.9,1.57,14.7,82.5,0
SUB-001,2026-09-04T08:00:00,63.4,2.49,9.0,90.3,0
SUB-001,2026-09-05T08:00:00,60.5,1.63,13.3,84.9,0
SUB-001,2026-09-06T08:00:00,58.9,2.21,16.5,83.5,0
SUB-001,2026-09-07T08:00:00,59.5,3.12,9.9,86.7,0
SUB-001,2026-09-08T08:00:00,59.1,2.12,14.4,86.5,0
SUB-001,2026-09-09T08:00:00,55.7,3.1,14.8,86.0,0
SUB-001,2026-09-10T08:00:00,56.6,2.08,16.1,86.0,0
SUB-001,2026-09-11T08:00:00,59.9,2.32,14.3,86.1,0
SUB-001,2026-09-12T08:00:00,60.8,2.32,14.9,87.7,0
SUB-002,2026-06-15T08:00:00,58.1,1.83,9.9,88.5,0
SUB-002,2026-06-16T08:00:00,55.5,2.52,12.6,93.1,0
SUB-002,2026-06-17T08:00:00,65.3,2.19,8.1,89.2,0
SUB-002,2026-06-18T08:00:00,58.2,1.58,12.0,90.5,0
SUB-002,2026-06-19T08:00:00,57.1,1.87,10.4,93.5,0
SUB-002,2026-06-20T08:00:00,58.0,1.84,11.6,91.9,0
SUB-002,2026-06-21T08:00:00,56.4,2.37,14.9,91.5,0
SUB-002,2026-06-22T08:00:00,62.7,1.96,16.1,88.4,0
SUB-002,2026-06-23T08:00:00,57.3,2.65,15.2,90.0,0
SUB-002,2026-06-24T08:00:00,54.9,2.4,10.8,88.1,0
SUB-002,2026-06-25T08:00:00,56.5,2.27,6.3,90.7,0
SUB-002,2026-06-26T08:00:00,59.0,1.94,15.8,91.2,0
SUB-002,2026-06-27T08:00:00,56.6,1.91,14.8,86.9,0
SUB-002,2026-06-28T08:00:00,57.5,1.92,12.9,90.4,0
SUB-002,2026-06-29T08:00:00,58.6,2.63,13.4,89.3,0
SUB-002,2026-06-30T08:00:00,54.8,2.46,14.3,92.9,0
SUB-002,2026-07-01T08:00:00,56.2,2.19,12.5,89.8,0
SUB-002,2026-07-02T08:00:00,58.5,1.49,15.2,91.3,0
SUB-002,2026-07-03T08:00:00,61.9,3.08,11.8,89.9,0
SUB-002,2026-07-04T08:00:00,58.5,2.95,7.5,90.9,0
SUB-002,2026-07-05T08:00:00,54.1,1.14,6.6,87.2,0
SUB-002,2026-07-06T08:00:00,61.7,1.83,12.0,87.6,0
SUB-002,2026-07-07T08:00:00,60.3,1.73,16.7,88.0,0
SUB-002,2026-07-08T08:00:00,56.2,2.22,12.8,92.8,0
SUB-002,2026-07-09T08:00:00,58.8,1.69,11.0,88.8,0
SUB-002,2026-07-10T08:00:00,60.6,2.33,12.3,91.7,0
SUB-002,2026-07-11T08:00:00,56.9,2.12,13.3,93.0,0
SUB-002,2026-07-12T08:00:00,58.2,2.04,9.6,91.3,0
SUB-002,2026-07-13T08:00:00,56.7,2.31,7.0,92.0,0
SUB-002,2026-07-14T08:00:00,54.5,1.86,15.9,87.3,0
SUB-002,2026-07-15T08:00:00,58.2,2.21,9.7,92.6,0
SUB-002,2026-07-16T08:00:00,63.0,1.39,8.4,91.6,0
SUB-002,2026-07-17T08:00:00,54.6,2.02,13.1,91.3,0
SUB-002,2026-07-18T08:00:00,57.8,2.21,10.4,92.5,0
SUB-002,2026-07-19T08:00:00,57.0,2.31,11.2,90.2,0
SUB-002,2026-07-20T08:00:00,58.0,2.11,9.7,91.6,0
SUB-002,2026-07-21T08:00:00,62.7,2.27,14.9,91.6,0
SUB-002,2026-07-22T08:00:00,61.3,2.3,13.3,91.7,0
SUB-002,2026-07-23T08:00:00,58.7,1.79,12.8,86.2,0
SUB-002,2026-07-24T08:00:00,58.4,2.34,16.4,90.3,0
SUB-002,2026-07-25T08:00:00,61.3,2.18,9.6,87.1,0
SUB-002,2026-07-26T08:00:00,55.6,1.63,14.6,89.5,0
SUB-002,2026-07-27T08:00:00,60.2,2.2,15.8,92.1,0
SUB-002,2026-07-28T08:00:00,56.5,2.07,11.1,86.7,0
SUB-002,2026-07-29T08:00:00,60.5,2.65,12.7,89.0,0
SUB-002,2026-07-30T08:00:00,61.7,1.24,13.2,90.2,0
SUB-002,2026-07-31T08:00:00,56.8,2.73,15.6,89.4,0
SUB-002,2026-08-01T08:00:00,58.2,2.02,11.2,87.3,0
SUB-002,2026-08-02T08:00:00,62.6,2.59,15.1,87.8,0
SUB-002,2026-08-03T08:00:00,64.7,2.97,13.3,88.2,0
SUB-002,2026-08-04T08:00:00,55.9,2.34,10.0,89.9,0
SUB-002,2026-08-05T08:00:00,61.7,1.57,18.7,93.1,0
SUB-002,2026-08-06T08:00:00,54.8,1.61,11.9,87.9,0
SUB-002,2026-08-07T08:00:00,57.7,1.14,12.0,93.6,0
SUB-002,2026-08-08T08:00:00,55.1,2.07,8.2,91.2,0
SUB-002,2026-08-09T08:00:00,57.8,2.95,13.3,89.2,0
SUB-002,2026-08-10T08:00:00,60.1,1.97,8.7,90.6,0
SUB-002,2026-08-11T08:00:00,57.9,2.24,13.8,88.9,0
SUB-002,2026-08-12T08:00:00,59.7,2.87,9.4,93.4,0
SUB-002,2026-08-13T08:00:00,57.7,1.87,20.0,90.3,0
SUB-002,2026-08-14T08:00:00,62.6,2.5,7.7,90.2,0
SUB-002,2026-08-15T08:00:00,56.9,1.64,7.4,90.2,0
SUB-002,2026-08-16T08:00:00,60.2,2.33,11.8,88.4,0
SUB-002,2026-08-17T08:00:00,55.5,1.95,9.6,89.6,0
SUB-002,2026-08-18T08:00:00,58.4,1.82,12.0,88.4,0
SUB-002,2026-08-19T08:00:00,58.5,2.38,13.2,90.9,0
SUB-002,2026-08-20T08:00:00,53.5,2.02,13.5,91.2,0
SUB-002,2026-08-21T08:00:00,53.7,2.24,16.3,89.6,0
SUB-002,2026-08-22T08:00:00,58.2,2.36,13.4,91.3,0
SUB-002,2026-08-23T08:00:00,58.7,2.24,10.4,89.6,0
SUB-002,2026-08-24T08:00:00,62.2,2.09,12.2,89.0,0
SUB-002,2026-08-25T08:00:00,60.8,1.83,15.4,88.1,0
SUB-002,2026-08-26T08:00:00,55.3,2.26,13.1,90.6,0
SUB-002,2026-08-27T08:00:00,61.7,2.01,14.0,88.1,0
SUB-002,2026-08-28T08:00:00,62.2,2.43,14.3,90.3,0
SUB-002,2026-08-29T08:00:00,56.1,2.04,14.2,89.9,0
SUB-002,2026-08-30T08:00:00,58.8,1.63,13.3,88.6,0
SUB-002,2026-08-31T08:00:00,55.2,2.11,7.1,91.4,0
SUB-002,2026-09-01T08:00:00,61.0,2.15,9.7,88.1,0
SUB-002,2026-09-02T08:00:00,58.0,1.21,13.2,91.3,0
SUB-002,2026-09-03T08:00:00,57.5,1.98,13.3,90.7,0
SUB-002,2026-09-04T08:00:00,61.8,2.18,10.6,89.0,0
SUB-002,2026-09-05T08:00:00,59.0,2.8,11.7,87.9,0
SUB-002,2026-09-06T08:00:00,55.9,1.34,13.7,87.2,0
SUB-002,2026-09-07T08:00:00,54.8,1.39,9.4,91.1,0
SUB-002,2026-09-08T08:00:00,54.5,1.48,13.2,89.3,0
SUB-002,2026-09-09T08:00:00,59.8,2.47,12.7,87.4,0
SUB-002,2026-09-10T08:00:00,58.1,2.38,11.0,87.1,0
SUB-002,2026-09-11T08:00:00,61.8,2.01,11.5,90.0,0
SUB-002,2026-09-12T08:00:00,61.6,2.28,11.7,91.3,0
SUB-003,2026-06-15T08:00:00,62.4,2.61,20.5,83.0,0
SUB-003,2026-06-16T08:00:00,67.2,1.58,17.4,83.9,0
SUB-003,2026-06-17T08:00:00,60.8,2.22,14.2,85.8,0
SUB-003,2026-06-18T08:00:00,57.6,1.93,14.8,83.8,0
SUB-003,2026-06-19T08:00:00,54.6,2.06,16.9,86.7,0
SUB-003,2026-06-20T08:00:00,53.1,1.36,16.3,88.0,0
SUB-003,2026-06-21T08:00:00,54.2,2.99,20.0,82.9,0
SUB-003,2026-06-22T08:00:00,53.4,2.15,15.0,90.0,0
SUB-003,2026-06-23T08:00:00,53.0,2.33,22.9,85.0,0
SUB-003,2026-06-24T08:00:00,52.9,1.95,19.6,87.0,0
SUB-003,2026-06-25T08:00:00,56.1,1.5,18.6,83.9,0
SUB-003,2026-06-26T08:00:00,49.4,1.78,14.2,86.4,0
SUB-003,2026-06-27T08:00:00,61.8,2.8,16.8,84.3,0
SUB-003,2026-06-28T08:00:00,58.0,2.48,17.2,85.0,0
SUB-003,2026-06-29T08:00:00,62.6,2.01,17.0,85.5,0
SUB-003,2026-06-30T08:00:00,57.7,1.65,17.7,82.9,0
SUB-003,2026-07-01T08:00:00,55.1,2.81,20.7,85.1,0
SUB-003,2026-07-02T08:00:00,53.1,1.93,21.6,84.1,0
SUB-003,2026-07-03T08:00:00,60.3,1.51,17.6,88.8,0
SUB-003,2026-07-04T08:00:00,49.9,2.53,12.9,85.1,0
SUB-003,2026-07-05T08:00:00,55.4,2.39,9.0,81.4,0
SUB-003,2026-07-06T08:00:00,54.2,2.07,15.8,84.8,0
SUB-003,2026-07-07T08:00:00,52.4,1.9,15.9,85.8,0
SUB-003,2026-07-08T08:00:00,57.7,2.63,16.5,84.6,0
SUB-003,2026-07-09T08:00:00,56.1,1.94,18.3,82.1,0
SUB-003,2026-07-10T08:00:00,57.0,1.69,15.6,82.1,0
SUB-003,2026-07-11T08:00:00,59.4,2.0,21.9,85.8,0
SUB-003,2026-07-12T08:00:00,50.8,1.62,20.8,83.7,0
SUB-003,2026-07-13T08:00:00,52.7,1.98,18.0,83.2,0
SUB-003,2026-07-14T08:00:00,55.0,1.86,10.7,86.3,0
SUB-003,2026-07-15T08:00:00,53.5,2.58,15.0,82.1,0
SUB-003,2026-07-16T08:00:00,59.5,1.42,16.6,86.5,0
SUB-003,2026-07-17T08:00:00,54.9,1.39,19.1,84.9,0
SUB-003,2026-07-18T08:00:00,59.8,2.29,27.6,82.0,0
SUB-003,2026-07-19T08:00:00,55.9,1.63,22.0,86.9,0
SUB-003,2026-07-20T08:00:00,58.2,1.74,16.3,81.2,0
SUB-003,2026-07-21T08:00:00,61.1,2.26,17.7,87.1,0
SUB-003,2026-07-22T08:00:00,58.2,2.45,13.6,83.8,0
